title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Assoc Professor ACD YR,Latino & Hispan Carib Stds,Livingston,127000,140370,9/1/2016,7,280
Professor ACD YR,Philosophy,College Av,145000,140152,7/1/1971,6,281
Professor ACD YR,Political Science,Douglass,140162,139894,7/1/1968,3,282
Assoc Professor ACD YR,History,College Av,141032,139616,9/1/2004,3,283
Asst Professor ACD YR,Economics,College Av,126897,139606,9/1/2015,4,283
Professor ACD YR,Statistics,Busch,140091,139573,7/1/1964,6,283
Asst Professor ACD YR,Cell Bio & Neurosci,Busch,106096,139461,1/1/2016,8,283
Professor ACD YR,Sociology,Douglass,156131,139418,9/1/2010,9,283
Asst Professor ACD YR,Genetics,Busch,105722,139251,1/1/2012,3,284
Professor ACD YR,Sociology,Douglass,140614,139089,9/1/1995,8,284
Professor ACD YR,Mathematics,Busch,139443,138927,9/1/1982,4,285
Professor ACD YR,Economics,College Av,155110,138719,9/1/1978,4,286
Professor ACD YR,Physics & Astronomy,Busch,132429,138600,9/1/2007,7,286
Assoc Professor ACD YR,Latino & Hispan Carib Stds,Livingston,141534,138554,7/1/2010,8,286
Assoc Professor ACD YR,Mathematics,Busch,116156,138377,9/1/2011,7,287
Assoc Professor ACD YR,Political Science,Douglass,139304,138181,7/1/1971,2,288
Professor ACD YR,Psychology,Busch,138442,138177,9/1/1993,3,288
Asst Professor ACD YR,Computer Science,Busch,114977,137056,9/1/2012,8,291
Asst Professor ACD YR,Genetics,Busch,103742,137005,1/1/2012,10,291
Assoc Professor ACD YR,English,College Av,154001,136770,9/1/2005,3,293
Assoc Professor ACD YR,English,College Av,125260,136246,9/1/1994,6,295
Professor ACD YR,Cell Bio & Neurosci,Busch,138029,135896,9/1/1993,8,296
Professor ACD YR,Women's & Gender Studies,Douglass,134771,135783,9/1/2004,2,297
Assoc Professor ACD YR,Spanish & Portuguese,College Av,127323,135481,9/1/1991,4,298
Professor ACD YR,Cell Bio & Neurosci,Busch,135650,135390,9/1/1990,8,298
Assoc Professor ACD YR,Chem & Chemical Biology,Busch,126095,135311,1/1/2003,10,298
