title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Professor ACD YR,Engn - Industrial Engineering,Busch,145162,168470,9/1/1986,10,193
Professor ACD YR,Sas-Latino & Hispan Carib Stds,Livingston,169303,168232,7/1/2005,4,194
Professor ACD YR,Sc&I - Communication,College Av,110076,168226,9/1/2000,5,194
Professor ACD YR,Fasn - English,Newark,163405,168221,9/1/2008,6,194
Professor ACD YR,Mgsa - Music,Douglass,158214,167649,7/1/2012,6,195
Professor ACD YR,School Of Business - Cmd,Camden,169709,167629,9/1/1989,7,195
Assoc Professor ACD YR,Sas - Statistics,Busch,140000,167624,9/1/1998,8,195
Professor ACD YR,Bsppp-Dean's Office,College Av,127152,167403,9/1/1999,7,196
Professor ACD YR,Sas - Political Science,Douglass,145538,167232,9/1/2012,1,197
Asst Professor ACD YR,Sas - Computer Science,Busch,127305,166874,1/1/2013,5,197
Professor ACD YR,Sebs-Agricultural Econ & Mktg,Livingston,126805,166759,9/1/1985,10,197
Assoc Professor ACD YR,Smlr-Labor Studies & Empl Rels,Cook,142743,166624,9/1/2005,2,198
Professor ACD YR,Sas - Mathematics,Busch,139437,166379,9/1/1993,1,199
Assoc Professor ACD YR,Rbs Acctg & Info Systems,Livingston,153636,166255,9/1/1991,5,199
Professor ACD YR,Waksman Inst Of Microbiology,Busch,125610,165738,1/1/2000,2,201
Professor ACD YR,Sas - English,College Av,167763,165699,9/1/1999,4,201
Asst Professor ACD YR,School Of Business - Cmd,Camden,156234,165365,9/1/2013,4,202
Professor ACD YR,Engn - Industrial Engineering,Busch,166663,164853,9/1/1981,6,203
Professor ACD YR,Sas - Physics & Astronomy,Busch,137757,164760,9/1/1999,1,204
Professor ACD YR,Sas - Psychology,Busch,149853,164581,9/1/1987,7,204
Assoc Professor ACD YR,Sas - Economics,College Av,150990,164567,9/1/2001,8,204
Professor ACD YR,Sebs - Human Ecology,Cook,149910,164466,9/1/1986,3,205
Professor ACD YR,Sas - Computer Science,Busch,171759,164449,9/1/1989,4,205
Professor ACD YR,Sas - Psychology,Busch,149683,164391,9/1/1990,6,205
Professor ACD YR,Engn - Elec & Computer Engn,Busch,164556,164241,9/1/1988,1,206
Assoc Professor ACD YR,Sas - Psychology,Busch,125541,164148,9/1/2008,4,206
Asst Professor ACD YR,School Of Business - Cmd,Camden,147165,163997,9/1/2013,10,206
Assoc Professor ACD YR,Engn - Elec & Computer Engn,Busch,124707,163987,1/1/2011,1,207
Asst Professor ACD YR,Smlr-Labor Studies & Empl Rels,Cook,135836,163843,9/1/2014,5,207
Professor ACD YR,Sas - Computer Science,Busch,131719,163774,9/1/2002,7,207
Professor ACD YR,Bsppp-Dean's Office,College Av,157453,163773,1/1/1992,8,207
Professor ACD YR,Sas - Physics & Astronomy,Busch,140580,163592,9/1/2004,4,208
Professor ACD YR,"Sas-Germn,Russ&E Euro Lang&Lit",College Av,148315,163444,9/1/2003,9,208
Professor ACD YR,Waksman Inst Of Microbiology,Busch,129618,163443,9/1/2007,2,209
