title,dept,campus,base_salary,gross_salary,hire_date,rec,page
Professor ACD YR,Economics,College Av,176328,156879,9/1/1992,4,227
Professor ACD YR,Psychology,Busch,131248,156867,9/1/1998,5,227
Asst Professor ACD YR,Computer Science,Busch,117240,156853,9/1/2015,6,227
Assoc Professor ACD YR,Women's & Gender Studies,Douglass,131491,156514,7/1/2012,4,228
Professor ACD YR,Chem & Chemical Biology,Busch,142954,156490,9/1/1998,6,228
Assoc Professor ACD YR,Genetics,Busch,118576,156180,10/1/2003,5,229
Professor ACD YR,Mathematics,Busch,142972,156047,9/1/2000,8,229
Professor ACD YR,American Studies,Douglass,157027,155852,1/20/1969,2,230
Assoc Professor ACD YR,Marine & Coastal Sciences,Off Campus,112911,155843,9/1/2003,4,230
Professor ACD YR,Nutritional Sciences,Douglass,145730,155799,9/1/1984,7,230
Professor ACD YR,Elec & Computer ,Busch,136430,155710,9/1/1999,2,231
Assoc Professor ACD YR,Physics & Astronomy,Busch,119581,155648,9/1/2009,4,231
Professor ACD YR,History,College Av,155797,155498,9/1/1978,6,231
Assoc Professor ACD YR,Computer Science,Busch,137675,155447,9/1/2005,1,232
Professor ACD YR,Philosophy,College Av,160129,155339,9/1/1990,6,232
Assoc Professor ACD YR,History,College Av,141001,155252,9/1/2014,7,232
Professor ACD YR,Physics & Astronomy,Busch,128446,154975,9/1/2004,5,233
Professor ACD YR,Earth & Planetary Sciences,Busch,125085,154568,9/1/1981,6,234
Professor ACD YR,Political Science,Douglass,148110,154426,9/1/2008,2,235
Assoc Professor ACD YR,Classics,College Av,155614,154187,9/1/1999,2,236
Assoc Professor ACD YR,American Studies,Douglass,155351,154151,9/1/2005,6,236
Professor ACD YR,Mech & Aerospace ,Busch,140523,153844,8/1/2001,1,238
Assoc Professor ACD YR,School Of Social Work,College Av,125816,153837,9/1/1989,2,238
Assoc Professor ACD YR,Biomedical Engineering,Busch,126935,153430,1/1/2007,6,239
Professor ACD YR,Earth & Planetary Sciences,Busch,117627,153411,9/1/1998,7,239
Assoc Professor ACD YR,Elec & Computer ,Busch,116665,153281,9/1/2007,7,240
Professor ACD YR,Environmental Science,Cook,121202,152692,1/1/1998,10,241
Professor ACD YR,Psychology,Busch,145780,152616,9/1/1986,5,242
Assoc Professor ACD YR,History,College Av,125362,152611,9/1/2007,6,242
Professor ACD YR,Psychology,Busch,154424,152494,7/1/1992,1,243
Professor ACD YR,Elec & Computer ,Busch,138212,152464,7/1/1995,3,243
Assoc Professor ACD YR,Genetics,Busch,115530,152451,1/1/2006,5,243
